가맹점코드,가맹점명,가맹주성함,가맹주번호,사업자번호,정보
63110200001,마산시어시장상인회,박은예,010-2853-9303,813-06-17357,1등록이 되어 있지 않습니다. 
61610200305,노점,정수시,010-7538-5487,246-74-65687,2등록이 되어 있습니다.
15010300205,세원상사,윤준수,010-5073-2946,036-95-36723,3등록이 되어 있습니다.
50210500271,농업회사법인주식회사,김서도,010-7123-7906,286-22-11482,4등록이 되어 있습니다.
61610200305,노점,정시진,010-5435-2841,128-61-31980,5등록이 되어 있지 않습니다. 
40210200064,청미포크,홍준예,010-0042-7946,984-37-80470,6등록이 되어 있습니다.
50210500271,농업회사법인주식회사,권우민,010-6827-3670,436-22-64953,7등록이 되어 있습니다.
60010700001,보수종합시장,신은지,010-5605-7157,017-48-65183,8등록이 되어 있습니다.
15210200001,구로시장상인회,임진도,010-4669-2891,607-74-39149,9등록이 되어 있습니다.
50210400131,산해수산,서희하,010-6519-0162,624-43-57095,10등록이 되어 있습니다.
60010700001,보수종합시장,강수예,010-9362-6306,830-68-52072,11등록이 되어 있습니다.
50210400131,산해수산,강예시,010-1983-4478,771-84-70964,12등록이 되어 있습니다.
53010700087,동부축산,홍태준,010-7308-9803,725-05-36495,13등록이 되어 있지 않습니다. 
73010500045,마산에프에스,김지은,010-5063-6206,245-24-86010,14등록이 되어 있습니다.
70211800021,달성상사,송나건,010-0853-0688,534-35-94891,15등록이 되어 있지 않습니다. 
57010100024,홍진의류,김은우,010-9969-9746,388-23-72089,16등록이 되어 있습니다.
70010800403,노점,조시도,010-9305-9891,862-96-61475,17등록이 되어 있습니다.
61710100138,초원상회,박준수,010-0573-3812,706-53-57673,18등록이 되어 있습니다.
68111000001,울산학성새벽시장상인,임지은,010-4872-7752,513-30-30349,19등록이 되어 있지 않습니다. 
15611100011,개미수산,임윤유,010-3729-9325,681-09-39159,20등록이 되어 있습니다.
64110800064,(주)한마음여행사,최건우,010-6675-7018,405-78-31654,21등록이 되어 있습니다.
15210200001,구로시장상인회,윤태도,010-6443-7943,454-70-76595,22등록이 되어 있습니다.
42210500277,하늘축산물도매센타,최건수,010-4071-3748,981-23-68423,23등록이 되어 있지 않습니다. 
53010700087,동부축산,한지은,010-3015-6842,896-37-97525,24등록이 되어 있습니다.
6035200002,제일상회,이태나,010-5427-2597,684-48-55769,25등록이 되어 있습니다.
60410500023,신평빅할인마트,강지유,010-4090-6155,335-06-19239,26등록이 되어 있습니다.
60410300023,창해수산,한준태,010-2428-4188,391-93-21106,27등록이 되어 있습니다.
70210500111,형제유통,정지진,010-5515-3461,869-56-94487,28등록이 되어 있습니다.
30610400116,주식회사우성농산,정나우,010-9531-7733,256-60-26054,29등록이 되어 있습니다.
53010600104,서라벌상회,박현라,010-0623-0088,173-10-25904,30등록이 되어 있습니다.
70211800011,공주상회,한우수,010-7601-6588,855-69-89687,31등록이 되어 있지 않습니다. 
50210500271,농업회사법인주식회사,강유지,010-9863-1685,487-81-84327,32등록이 되어 있습니다.
2284200009,태경축산,권은우,010-0145-7443,336-15-66997,33등록이 되어 있습니다.
42210500277,하늘축산물도매센타,임우라,010-7734-7288,865-11-68541,34등록이 되어 있습니다.
6035200002,제일상회,서서윤,010-6444-2448,813-02-48730,35등록이 되어 있지 않습니다. 
60010100124,한미상회,정나민,010-2394-2455,933-62-35749,36등록이 되어 있습니다.
10010500212,잔피엘,윤지라,010-5022-7645,409-83-10854,37등록이 되어 있습니다.
60010100124,한미상회,박민도,010-8174-9905,381-81-82744,38등록이 되어 있습니다.
68111000177,울산대파,김서예,010-0355-9647,938-92-13775,39등록이 되어 있지 않습니다. 
13310500457,수영미트,윤하서,010-6396-4488,047-17-59156,40등록이 되어 있습니다.
15011800217,과일향기,이은시,010-4533-8421,792-98-31684,41등록이 되어 있습니다.
40510300001,구월도매전통시장,신도시,010-9248-1227,347-07-60213,42등록이 되어 있습니다.
50210400082,양동수산전통시장상인,김나건,010-0300-9133,587-17-23096,43등록이 되어 있지 않습니다. 
70211800004,미래농산,박유희,010-5289-0863,122-99-35448,44등록이 되어 있습니다.
50210500271,농업회사법인주식회사,최민희,010-5312-3399,302-00-49546,45등록이 되어 있습니다.
3212200010,까사미아아울렛서대구,정유서,010-0826-9068,453-23-77209,46등록이 되어 있습니다.
70211700124,대풍농산,윤태서,010-7512-5324,655-35-07765,47등록이 되어 있습니다.
79010100003,SP플러스마트,이진윤,010-7359-7084,835-51-66836,48등록이 되어 있습니다.
70010800403,노점,김태라,010-9278-1338,617-22-06156,49등록이 되어 있습니다.
70010800403,노점,홍나진,010-8318-4330,072-72-23154,50등록이 되어 있습니다.
63112000096,둘둘수산,한진은,010-2282-1661,152-31-79823,51등록이 되어 있습니다.
14091200007,섬섬농수산,윤나나,010-0705-1087,257-44-47808,52등록이 되어 있습니다.
61710100277,승주농산,한태민,010-1816-5856,349-60-81998,53등록이 되어 있지 않습니다. 
40310300027,대성상회,이나희,010-2359-8796,056-26-13968,54등록이 되어 있습니다.
61710100057,우정유통,조민라,010-0383-5372,334-24-40377,55등록이 되어 있습니다.
57311100001,군산신영시장,윤태은,010-1402-5221,739-62-80389,56등록이 되어 있습니다.
54010200155,남우수산,서우나,010-7909-2230,200-54-27748,57등록이 되어 있습니다.
61410900384,우성청과,송도서,010-3246-8053,710-66-28587,58등록이 되어 있습니다.
61410900384,우성청과,김건준,010-5086-0104,458-31-47941,59등록이 되어 있지 않습니다. 
50210300724,우정식육점,송나윤,010-6718-4014,611-50-38441,60등록이 되어 있습니다.
3212200010,까사미아아울렛서대구,권예태,010-5721-9691,756-75-30095,61등록이 되어 있습니다.
42210500277,하늘축산물도매센타,송건도,010-1636-7612,133-72-19185,62등록이 되어 있습니다.
42210500277,하늘축산물도매센타,송태도,010-6988-6981,916-12-40346,63등록이 되어 있습니다.
6035200002,제일상회,홍현수,010-0900-4554,609-32-34388,64등록이 되어 있지 않습니다. 
68111000177,울산대파,이수윤,010-4554-2435,821-19-67615,65등록이 되어 있습니다.
57010100001,북부시장상인회,한희윤,010-8138-5090,348-96-82889,66등록이 되어 있습니다.
13010400388,무주상회,윤태준,010-4233-7710,646-89-63457,67등록이 되어 있습니다.
21010100386,영진당,최진우,010-6881-3506,887-97-82096,68등록이 되어 있습니다.
70011200206,왕보뻥튀기,한희시,010-7054-8786,198-56-44805,69등록이 되어 있습니다.
79110400720,장은종합수산,임유민,010-4743-7500,371-82-45002,70등록이 되어 있습니다.
61410900384,우성청과,신준예,010-2317-0893,635-91-36961,71등록이 되어 있습니다.
70211700124,대풍농산,정민시,010-6164-3735,803-59-03096,72등록이 되어 있습니다.
61710100057,우정유통,권도준,010-3070-2683,443-53-29486,73등록이 되어 있습니다.
74010300039,니코보코김천대리점,조준현,010-8173-7479,802-46-81250,74등록이 되어 있습니다.
63112000096,둘둘수산,박윤윤,010-0122-0155,737-09-22403,75등록이 되어 있습니다.
61712300065,금오의류,홍현준,010-4509-2462,688-25-11413,76등록이 되어 있지 않습니다. 
40310300001,부평깡시장 상인회,강우민,010-2483-7270,895-13-67603,77등록이 되어 있습니다.
15010800002,동부상사,이도유,010-6093-5584,636-87-79049,78등록이 되어 있습니다.
66410100075,8번상회,조수준,010-1845-0761,701-17-71304,79등록이 되어 있습니다.
68111000001,울산학성새벽시장상인,임수태,010-3363-1516,439-79-51709,80등록이 되어 있습니다.
70213001646,의성상회,홍준하,010-4173-3986,851-38-54714,81등록이 되어 있습니다.
70010800002,서문시장1지구상인회,이민현,010-8958-5185,657-19-62659,82등록이 되어 있지 않습니다. 
67810200118,합천건어물,조나도,010-8375-3150,399-25-01543,83등록이 되어 있습니다.
14111200002,장흥상회,임민나,010-1859-2319,494-87-54218,84등록이 되어 있습니다.
15210200001,구로시장상인회,신예예,010-2146-8896,748-69-14081,85등록이 되어 있습니다.
70110100568,수선하는옥례씨,조민예,010-7040-5954,226-74-21243,86등록이 되어 있습니다.
54010200269,용궁수산,신하유,010-2172-5983,844-99-47184,87등록이 되어 있습니다.
61410900133,표씨상회,신윤준,010-3208-0510,699-37-90763,88등록이 되어 있습니다.
13310500534,(주)승일푸드유통,한태수,010-2022-9787,141-68-70495,89등록이 되어 있습니다.
15010300205,세원상사,정시현,010-4712-1554,866-20-99189,90등록이 되어 있지 않습니다. 
63112000096,둘둘수산,정시예,010-9162-6924,551-99-94801,91등록이 되어 있습니다.
61710100057,우정유통,조준태,010-7352-2674,194-17-05294,92등록이 되어 있습니다.
70210600001,대구능금시장상인회,윤수민,010-6639-1035,829-57-72146,93등록이 되어 있습니다.
61410600001,골드테마거리상인회,윤건건,010-4642-1392,410-48-88557,94등록이 되어 있습니다.
67810200118,합천건어물,김건현,010-1684-4826,650-91-73990,95등록이 되어 있습니다.
61410800689,곡식할매,강민현,010-1464-4437,000-32-61143,96등록이 되어 있습니다.
64110800064,(주)한마음여행사,윤서건,010-6665-5110,656-69-71852,97등록이 되어 있지 않습니다. 
10010500212,잔피엘,신은나,010-3177-7140,233-83-69297,98등록이 되어 있습니다.
